         88997240 function calls (83237166 primitive calls) in 47.419 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000   47.495   47.495 {built-in method builtins.exec}
        1    0.001    0.001   47.495   47.495 render.py:10(<module>)
        1    2.090    2.090   47.407   47.407 {built-in method exec_}
      201    0.003    0.000   45.317    0.225 render.py:61(paintEvent)
      201    0.008    0.000   45.312    0.225 render.py:103(draw_objects)
      201    6.054    0.030   45.303    0.225 render.py:72(draw_rectangles)
      200    1.880    0.009   31.472    0.157 main.py:164(get_next_state)
8640000/2880000   16.884    0.000   27.235    0.000 main.py:182(get_cell_neighbors)
  2880000    6.196    0.000    6.196    0.000 {built-in method drawRect}
 25920000    5.083    0.000    5.083    0.000 main.py:154(coordinates_in_bounds)
  2880000    2.268    0.000    2.268    0.000 main.py:234(get_updated_cell)
  8640000    1.947    0.000    1.947    0.000 main.py:227(<listcomp>)
 25632800    1.830    0.000    1.830    0.000 {method 'append' of 'list' objects}
  2880000    1.582    0.000    1.582    0.000 {built-in method setBrush}
  8640003    0.865    0.000    0.865    0.000 {method 'extend' of 'list' objects}
  2880000    0.626    0.000    0.626    0.000 {method 'remove' of 'list' objects}
      201    0.001    0.000    0.088    0.000 main.py:103(get_dead_board)
      201    0.011    0.000    0.088    0.000 main.py:109(<listcomp>)
        1    0.054    0.054    0.060    0.060 render.py:21(__init__)
     15/3    0.000    0.000    0.028    0.009 <frozen importlib._bootstrap>:966(_find_and_load)
     15/3    0.000    0.000    0.028    0.009 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
     15/3    0.000    0.000    0.027    0.009 <frozen importlib._bootstrap>:651(_load_unlocked)
     26/3    0.000    0.000    0.027    0.009 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    15/12    0.000    0.000    0.026    0.002 <frozen importlib._bootstrap>:564(module_from_spec)
      4/2    0.000    0.000    0.025    0.013 <frozen importlib._bootstrap_external>:919(create_module)
      4/2    0.025    0.006    0.025    0.013 {built-in method _imp.create_dynamic}
       11    0.000    0.000    0.024    0.002 <frozen importlib._bootstrap>:997(_handle_fromlist)
        1    0.000    0.000    0.024    0.024 {built-in method builtins.__import__}
        1    0.005    0.005    0.005    0.005 {built-in method show}
      5/2    0.000    0.000    0.003    0.002 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.000    0.000    0.003    0.003 main.py:11(<module>)
        1    0.000    0.000    0.003    0.003 random.py:38(<module>)
      201    0.002    0.000    0.002    0.000 {built-in method end}
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      201    0.001    0.000    0.001    0.000 {built-in method begin}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.001    0.001 main.py:69(__init__)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        8    0.000    0.000    0.000    0.000 hashlib.py:73(__get_builtin_constructor)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:830(get_data)
       48    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
